trial,route,mean,std,count,sem,ci_lower,ci_upper
67,Route A,-20.619534532348233,2.2460913317039437,500,0.10044825802726093,-20.816413118081663,-20.422655946614803
68,Route A,-20.51788453787805,2.2585414401261477,500,0.10100504380244674,-20.715854423730846,-20.319914652025254
69,Route A,-20.4146006700764,2.267704226728835,500,0.10141481607658541,-20.613373709586508,-20.21582763056629
70,Route A,-20.44918389884355,2.2545809678318687,500,0.1008279260969865,-20.646806633993645,-20.251561163693456
71,Route A,-20.42764786283858,2.1918316781399403,500,0.09802169255116693,-20.619770380238865,-20.235525345438294
72,Route A,-20.44476253722206,2.2483592246257187,500,0.10054968128203652,-20.641839912534852,-20.24768516190927
73,Route A,-20.477163041945303,2.1793520177159804,500,0.09746358517028515,-20.66819166887906,-20.286134415011546
74,Route A,-20.430742598207388,2.167579334858547,500,0.09693709478734981,-20.620739303990593,-20.240745892424183
75,Route A,-20.421911438818686,2.1997566960953305,500,0.0983761101285901,-20.61472861467072,-20.22909426296665
76,Route A,-20.379511101843505,2.189768970444086,500,0.09792944545865408,-20.571452814942468,-20.187569388744542
77,Route A,-20.41316635055727,2.1527669611920017,500,0.09627466529881934,-20.601864694542954,-20.224468006571584
78,Route A,-20.391179885039286,2.1833686474043414,500,0.09764321431075754,-20.58256058508837,-20.1997991849902
79,Route A,-20.46995951899116,2.2011489515050218,500,0.09843837368335233,-20.662898731410532,-20.27702030657179
80,Route A,-20.478238231875586,2.2028457562513943,500,0.09851425709850099,-20.67132617578865,-20.285150287962523
81,Route A,-20.462712600646196,2.134638565313167,500,0.09546393878865733,-20.649821920671965,-20.275603280620427
82,Route A,-20.464453573216677,2.1053906038891914,500,0.0941559301897113,-20.648999196388512,-20.27990795004484
83,Route A,-20.469499137614243,2.1018641261161073,500,0.09399822130927614,-20.653735651380423,-20.285262623848062
84,Route A,-20.504496082439907,2.1698315231113154,500,0.09703781570797614,-20.69469020122754,-20.314301963652273
85,Route A,-20.54079795722185,2.2391971609645034,500,0.10013994133882335,-20.737072242245944,-20.34452367219776
86,Route A,-20.542456091284762,2.30552873234454,500,0.10310637939202619,-20.744544594893135,-20.34036758767639
87,Route A,-20.45985081326795,2.2742756055523388,500,0.10170869707169054,-20.659199859528464,-20.260501767007433
88,Route A,-20.309200088748465,2.2331684925237245,500,0.09987033108987557,-20.50494593768462,-20.11345423981231
89,Route A,-20.1875929908856,2.098238145446822,500,0.0938360625240437,-20.371511673432728,-20.003674308338475
90,Route A,-20.2029964897693,2.006293481081532,500,0.08972417213025986,-20.378855867144612,-20.02713711239399
91,Route A,-20.186206778979102,2.0233393968197935,500,0.09048648865684959,-20.363560296746527,-20.008853261211677
92,Route A,-20.229483733531183,2.091558753667793,500,0.09353735104271846,-20.41281694157491,-20.046150525487455
93,Route A,-20.23711059994367,2.0760064555528888,500,0.09284183112689309,-20.41908058895238,-20.05514061093496
94,Route A,-20.25493553678592,2.0398082960257997,500,0.09122300021963405,-20.4337326172164,-20.076138456355437
95,Route A,-20.259049790131648,2.0661082504718484,500,0.0923991699385643,-20.440152163211234,-20.077947417052062
96,Route A,-20.20988349593295,2.1103607712376897,500,0.09437820283072713,-20.394864773481174,-20.024902218384725
97,Route A,-20.253484100189407,2.0841503546901414,500,0.09320603736834908,-20.43616793343137,-20.070800266947444
98,Route A,-20.191926937132777,2.0331729484935916,500,0.09092625845690698,-20.370142403708314,-20.01371147055724
99,Route A,-20.17941929132302,2.128902092803699,500,0.09520739593901273,-20.366025787363483,-19.992812795282553
100,Route A,-20.195107276587986,2.188846504057968,500,0.09788819150772772,-20.38696813194313,-20.00324642123284
101,Route A,-23.49278191365335,2.5725548937089058,500,0.11504815236365719,-23.718276292286117,-23.267287535020582
102,Route A,-25.314898082600664,2.7225359549426593,500,0.1217555093287818,-25.553538880885075,-25.076257284316252
103,Route A,-26.484172354092383,2.685211004047542,500,0.12008628677961533,-26.719541476180428,-26.248803232004338
104,Route A,-27.277313585899112,2.501890167764548,500,0.11188792974719765,-27.49661392820362,-27.058013243594605
105,Route A,-27.98884536910103,2.3222996219058816,500,0.10385639637407221,-28.192403905994208,-27.78528683220785
106,Route A,-28.576813352744296,2.262682928471634,500,0.10119025679181735,-28.775146256056257,-28.378480449432335
107,Route A,-29.006764514877435,2.194232118093927,500,0.09812904348942733,-29.199097440116713,-28.814431589638158
108,Route A,-29.362555760471807,2.1354529234980566,500,0.09550035799384625,-29.549736462139744,-29.17537505880387
109,Route A,-29.658030308516757,2.0767741446828225,500,0.09287616322849548,-29.840067588444608,-29.475993028588906
110,Route A,-29.92504047409173,2.016801595939104,500,0.090194109312998,-30.101820928345205,-29.748260019838256
