trial,route,mean,std,count,sem,ci_lower,ci_upper
83,Route A,0.6791141320531631,0.136423106484677,500,0.006101026796028603,0.667156119532947,0.6910721445733792
84,Route A,0.6800804769951483,0.13415167263299793,500,0.005999445186053631,0.6683215644304832,0.6918393895598134
85,Route A,0.6761790680722224,0.1382310435294511,500,0.006181880198651702,0.664062582882865,0.6882955532615798
86,Route A,0.6745634687586468,0.14277276830349522,500,0.006384992305248852,0.6620488838403591,0.6870780536769345
87,Route A,0.6733181456798991,0.14562490107841922,500,0.006512543560560555,0.6605535603012004,0.6860827310585979
88,Route A,0.6779711337210397,0.14461799532305397,500,0.006467513366241907,0.6652948075232056,0.6906474599188738
89,Route A,0.6879207948605836,0.14001556422638042,500,0.006261686390363487,0.6756478895354712,0.7001937001856959
90,Route A,0.696456791915851,0.13360029708219676,500,0.0059747869217991745,0.6847462095491246,0.7081673742825774
91,Route A,0.6956930728439459,0.13140924674111804,500,0.005876800171703653,0.6841745445074067,0.7072116011804851
92,Route A,0.6971919788911739,0.12948623138657603,500,0.005790800310613017,0.6858420102823723,0.7085419474999755
93,Route A,0.6925940132429743,0.13534286844930962,500,0.006052717082449357,0.6807306877613736,0.704457338724575
94,Route A,0.6922808736541802,0.1320664148694814,500,0.005906189623856988,0.6807047419914205,0.70385700531694
95,Route A,0.6912816603409366,0.13040617359591244,500,0.005831941376921968,0.6798510552421696,0.7027122654397037
96,Route A,0.6923060624830162,0.1307710754847882,500,0.0058482602854948535,0.6808434723234462,0.7037686526425861
97,Route A,0.6963641282466274,0.1351627979504599,500,0.006044664084925952,0.6845165866401726,0.7082116698530823
98,Route A,0.695427483787891,0.13163808852531633,500,0.005887034287414847,0.6838888965845579,0.7069660709912241
99,Route A,0.6988781702932453,0.12878833769250916,500,0.0057595895557929775,0.687589374763891,0.7101669658225995
100,Route A,0.6978234468132327,0.1344998510241041,500,0.00601501619706983,0.6860340150669758,0.7096128785594896
101,Route A,0.6951840744316311,0.13415540670577963,500,0.005999612178865087,0.6834248345610555,0.7069433143022067
102,Route A,0.4828886103757561,0.17598266465733334,500,0.007870184020706942,0.4674630496951705,0.4983141710563417
103,Route A,0.3677034145036884,0.1719114947128598,500,0.007688115765831003,0.3526347076026596,0.38277212140471717
104,Route A,0.29833595560875587,0.15536392927262432,500,0.006948086142101149,0.2847177067702376,0.3119542044472741
105,Route A,0.2531224128273284,0.13422861805211098,500,0.006002886289807511,0.24135675569930568,0.26488806995535114
