trial,choice,travel_time,reward,prediction_error,P_A,P_B,P_C,Q_A,Q_B,Q_C
87,A,17.7250825982961,-17.7250825982961,2.385805970811024,0.7000647423384224,0.17896076353212123,0.12097449412945643,-19.39514677786382,-24.65757602294942,-25.96286553165069
88,A,13.610312128401903,-13.610312128401903,5.784834649461915,0.7431353139365181,0.15326207629189978,0.1036026097715821,-17.659696383025242,-24.65757602294942,-25.96286553165069
89,B,27.15818251282087,-27.15818251282087,-2.5006064898714477,0.8296238594121197,0.10165741915432376,0.0687187214335566,-17.659696383025242,-25.407757969910854,-25.96286553165069
90,B,23.762723347780234,-23.762723347780234,1.6450346221306198,0.8469756392410934,0.08286837096461526,0.0701559897942913,-17.659696383025242,-24.914247583271667,-25.96286553165069
91,A,26.530008708534123,-26.530008708534123,-8.87031232550888,0.8359216803094505,0.094837942334285,0.0692403773562645,-20.320790080677906,-24.914247583271667,-25.96286553165069
92,B,23.178145538332526,-23.178145538332526,1.736102044939141,0.6963259489863262,0.1755248480894355,0.1281492029242385,-20.320790080677906,-24.393416969789925,-25.96286553165069
93,A,22.143782192308066,-22.143782192308066,-1.8229921116301604,0.6762518706169643,0.19929328417477396,0.12445484520826183,-20.867687714166955,-24.393416969789925,-25.96286553165069
94,B,24.36646887444381,-24.36646887444381,0.026948095346114087,0.639346862916686,0.22201131563058493,0.13864182145272907,-20.867687714166955,-24.38533254118609,-25.96286553165069
95,C,23.895522402263005,-23.895522402263005,2.067343129387684,0.6390023742593761,0.2224305063591639,0.13856711938146,-20.867687714166955,-24.38533254118609,-25.342662592834383
96,A,28.618328603916485,-28.618328603916485,-7.75064088974953,0.621394318170503,0.21630131343341297,0.1623043683960841,-23.192879981091814,-24.38533254118609,-25.342662592834383
97,A,18.08406339432006,-18.08406339432006,5.108816586771752,0.4496494714690441,0.31442090777609744,0.23592962075485846,-21.660235005060287,-24.38533254118609,-25.342662592834383
98,B,21.785908635913025,-21.785908635913025,2.599423905273067,0.5640723956671717,0.24904991632306162,0.1868776880097667,-21.660235005060287,-23.60550536960417,-25.342662592834383
99,A,23.216633973445223,-23.216633973445223,-1.5563989683849364,0.5293252017505238,0.2953088865894277,0.17536591166004858,-22.12715469557577,-23.60550536960417,-25.342662592834383
100,C,27.984634399839788,-27.984634399839788,-2.6419718070054046,0.4943401612509741,0.31725905982078045,0.1884007789282454,-22.12715469557577,-23.60550536960417,-26.135254134936005
101,A,36.68787274399467,-36.68787274399467,-14.560718048418899,0.5148678003776278,0.3304333474877621,0.15469885213461018,-26.495370110101437,-23.60550536960417,-26.135254134936005
102,B,24.181169813803493,-24.181169813803493,-0.5756644441993224,0.22253125412778316,0.52954967834673,0.24791906752548692,-26.495370110101437,-23.778204702863967,-26.135254134936005
103,B,19.899655797937953,-19.899655797937953,3.8785489049260136,0.22864458297300572,0.5166255723245003,0.2547298447024939,-26.495370110101437,-22.614640031386163,-26.135254134936005
104,B,22.313539459414258,-22.313539459414258,0.30110057197190443,0.18805806404965253,0.6024289843311295,0.20951295161921804,-26.495370110101437,-22.52430985979459,-26.135254134936005
105,B,22.2436952661425,-22.2436952661425,0.28061459365209274,0.18499665336621057,0.6089010713482232,0.20610227528556618,-26.495370110101437,-22.440125481698963,-26.135254134936005
106,C,30.74770762706804,-30.74770762706804,-4.612453492132033,0.182159730425344,0.6148985718578363,0.20294169771681972,-26.495370110101437,-22.440125481698963,-27.518990182575614
107,B,24.061262985188836,-24.061262985188836,-1.621137503489873,0.19564921758241738,0.6604336984668345,0.1439170839507481,-26.495370110101437,-22.926466732745926,-27.518990182575614
108,A,37.442570937246316,-37.442570937246316,-10.94720082714488,0.2149186310964911,0.6269899486755488,0.15809142022796022,-29.7795303582449,-22.926466732745926,-27.518990182575614
109,B,23.34465381127608,-23.34465381127608,-0.4181870785301527,0.09272765282217557,0.7245753942502281,0.18269695292759633,-29.7795303582449,-23.051922856304973,-27.518990182575614
110,B,25.07623087400785,-25.07623087400785,-2.0243080177028787,0.09527765564201328,0.7170012402633752,0.18772110409461162,-29.7795303582449,-23.659215261615838,-27.518990182575614
111,C,27.5364829622503,-27.5364829622503,-0.01749277967468643,0.10819877925346043,0.6786222317560463,0.21317898899049326,-29.7795303582449,-23.659215261615838,-27.52423801647802
112,C,27.3284235493585,-27.3284235493585,0.19581446711951855,0.1082350763545273,0.678849887002272,0.21291503664320074,-29.7795303582449,-23.659215261615838,-27.465493676342163
113,B,24.35314671690742,-24.35314671690742,-0.6939314552915832,0.10782689497516805,0.6762897753214078,0.21588332970342416,-29.7795303582449,-23.867394698203313,-27.465493676342163
114,A,35.452448908139374,-35.452448908139374,-5.672918549894472,0.1124303551431378,0.662469595062896,0.22510004979396622,-31.481405923213245,-23.867394698203313,-27.465493676342163
115,B,29.03494807506784,-29.03494807506784,-5.167553376864529,0.07065207560312396,0.6936523198098209,0.23569560458705516,-31.481405923213245,-25.41766071126267,-27.465493676342163
116,B,22.29351329888236,-22.29351329888236,3.12414741238031,0.09521582791479749,0.5871437923078402,0.31764037977736226,-31.481405923213245,-24.480416487548577,-27.465493676342163
117,C,23.60967399448899,-23.60967399448899,3.8558196818531734,0.07997058227319388,0.6532472379089233,0.2667821798178828,-31.481405923213245,-24.480416487548577,-26.308747771786212
118,C,28.946815010771022,-28.946815010771022,-2.63806723898481,0.07200180531095228,0.5881535322971099,0.33984466239193784,-31.481405923213245,-24.480416487548577,-27.100167943481654
119,B,22.541832324512782,-22.541832324512782,1.9385841630357952,0.07757347343855399,0.6336662284841553,0.2887602980772906,-31.481405923213245,-23.89884123863784,-27.100167943481654
120,C,21.558132910784035,-21.558132910784035,5.542035032697619,0.06921331817506604,0.6731463119763232,0.2576403698486107,-31.481405923213245,-23.89884123863784,-25.437557433672367
121,B,21.875171176280872,-21.875171176280872,2.023670062356967,0.05932806355145274,0.5770055276838955,0.3636664087646517,-31.481405923213245,-23.291740219930748,-25.437557433672367
122,C,34.63312588177652,-34.63312588177652,-9.195568448104154,0.05319620629366367,0.6207241587972595,0.32607963490907693,-31.481405923213245,-23.291740219930748,-28.196227968103614
123,B,22.246278443664824,-22.246278443664824,1.045461776265924,0.06515560568153358,0.760273360553781,0.1745710337646855,-31.481405923213245,-22.97810168705097,-28.196227968103614
124,B,20.48454321728674,-20.48454321728674,2.4935584697642312,0.06060936824230251,0.7770003054118859,0.16239032634581152,-31.481405923213245,-22.2300341461217,-28.196227968103614
125,B,28.258494224056598,-28.258494224056598,-6.0284600779348985,0.050698311084556476,0.813466000127379,0.13583568878806446,-31.481405923213245,-24.038572169502167,-28.196227968103614
126,B,21.80642884309072,-21.80642884309072,2.232143326411446,0.0768893412009784,0.7171014959873453,0.20600916281167625,-31.481405923213245,-23.368929171578735,-28.196227968103614
127,B,29.810134338480815,-29.810134338480815,-6.44120516690208,0.06630960054398707,0.7560274739962013,0.17766292545981163,-31.481405923213245,-25.30129072164936,-28.196227968103614
128,A,33.158755216059845,-33.158755216059845,-1.6773492928465998,0.0993559292639116,0.6344403097423071,0.2662037609937812,-31.984610711067226,-25.30129072164936,-28.196227968103614
