alpha,beta,negative_log_likelihood
0.1,0.54,139.70372378110812
0.1,0.55,140.12665617562448
0.1,0.56,140.5887167789344
0.1,0.57,141.08858291650878
0.1,0.58,141.62497038142408
0.1,0.59,142.19663308340623
0.1,0.6,142.80236261494886
0.1,0.61,143.44098774477064
0.1,0.62,144.11137384811101
0.1,0.63,144.81242228261203
0.1,0.64,145.54306971783208
0.1,0.65,146.30228742574985
0.1,0.66,147.08908053898077
0.1,0.67,147.902487282822
0.1,0.68,148.7415781866721
0.1,0.69,149.60545527984024
0.1,0.7,150.49325127626278
0.1,0.71,151.40412875218075
0.1,0.72,152.33727932041074
0.1,0.73,153.29192280443388
0.1,0.74,154.26730641517514
0.1,0.75,155.26270393299907
0.1,0.76,156.27741489714217
0.1,0.77,157.31076380452535
0.1,0.78,158.36209931962054
0.1,0.79,159.4307934968228
0.1,0.8,160.51624101655457
0.1,0.81,161.6178584361433
0.1,0.82,162.7350834563319
0.1,0.83,163.86737420412655
0.1,0.84,165.0142085325442
0.1,0.85,166.17508333768873
0.1,0.86,167.34951389348018
0.1,0.87,168.53703320424776
0.1,0.88,169.73719137531523
0.1,0.89,170.94955500162078
0.1,0.9,172.17370657434873
0.1,0.91,173.40924390547858
0.1,0.92,174.65577957011394
0.1,0.93,175.9129403663937
0.1,0.94,177.18036679275912
0.1,0.95,178.45771254230547
0.1,0.96,179.7446440139218
0.1,0.97,181.0408398398973
0.1,0.98,182.34599042965053
0.1,0.99,183.65979752921908
0.1,1.0,184.9819737961386
0.11,0.05,199.87126158054295
0.11,0.06,196.22627886039436
0.11,0.07,192.6919474893391
0.11,0.08,189.26892337066238
0.11,0.09,185.95770310974385
0.11,0.1,182.75862089248534
0.11,0.11,179.6718465270188
0.11,0.12,176.69738467357217
0.11,0.13,173.83507526673222
0.11,0.14,171.08459511381918
0.11,0.15,168.44546063327584
0.11,0.16,165.9170316785156
0.11,0.17,163.49851637610553
0.11,0.18,161.18897689287832
0.11,0.19,158.98733603494145
0.11,0.2,156.89238457273257
0.11,0.21,154.90278918036984
0.11,0.22,153.01710087447827
0.11,0.23,151.23376383734956
0.11,0.24,149.55112451141397
0.11,0.25,147.96744085633017
0.11,0.26,146.4808916661604
0.11,0.27,145.0895858517195
0.11,0.28,143.79157160193964
0.11,0.29,142.58484534756286
0.11,0.3,141.4673604603793
0.11,0.31,140.43703563123105
0.11,0.32,139.49176287987194
0.11,0.33,138.62941515927483
0.11,0.34,137.84785352595713
0.11,0.35,137.1449338562152
0.11,0.36,136.5185130957358
0.11,0.37,135.9664550368381
0.11,0.38,135.486635623569
0.11,0.39,135.0769477900307
0.11,0.4,134.73530584169544
0.11,0.41,134.45964939308232
0.11,0.42,134.2479468781106
0.11,0.43,134.09819865173
0.11,0.44,134.0084397031547
0.11,0.45,133.9767420022374
0.11,0.46,134.00121650128284
0.11,0.47,134.08001481497806
0.11,0.48,134.21133060116944
0.11,0.49,134.39340066499014
